species,image_id,animal_gray_sd,animal_saturation_sd,animal_edge_density,animal_luminance_edge_cv,animal_chromatic_edge_mean,animal_chromatic_edge_cv,gray_contrast_abs,saturation_contrast_abs,lab_colour_distance,luminance_edge_cv_difference,chromatic_edge_cv_difference,gray_sd_difference,saturation_sd_difference,edge_density_difference,chromatic_edge_mean_difference
Ceratosoma brevicaudatum,Ceratosoma_brevicaudatum_img09,30.91118889044085,33.059221884529364,0.140838023764853,0.8314085568010487,46.35042953491211,0.7021347374800697,16.790448294715986,76.71871857519554,38.44646033969634,0.1266268568812441,0.0178141550026418,33.07168540530026,1.6802669452529884,0.03332602595305499,19.91201400756836
Ceratosoma trilobatum,Ceratosoma_trilobatum_img01,33.94239947334394,63.7535898757524,0.0189444725647098,1.250832041868855,27.341753005981445,0.9521849844921012,41.85187964893612,22.83030219470152,19.65009199189389,0.4266393005657357,0.1261336704679686,7.452324202008043,34.83393607964079,0.045026537202137604,7.909435272216797
Ceratosoma trilobatum,Ceratosoma_trilobatum_img10,19.9731772290714,45.28196015449856,0.0005342526511027,0.771641311865359,17.683063507080078,0.5994062895789869,9.375581176747689,89.47857477474841,28.82724733009167,0.1523304715924238,0.1280028815100893,0.33012308066081175,21.830625319390602,0.014416654234972499,9.742353916168213
Ceratosoma trilobatum,Ceratosoma_trilobatum_img02,27.681585701607524,21.509912184088183,0.0228752553131108,1.623590610624544,13.7963285446167,1.284553505309059,42.24253027529859,116.36766781714888,63.431809492852565,0.6804906030401022,0.5080819837703815,18.691918170972464,11.90667989241248,0.0365963803484172,0.8732261657714826
Ceratosoma trilobatum,Ceratosoma_trilobatum_img03,14.90409303622285,16.54512261365883,0.0006027518740733,1.147997983365583,9.12957000732422,0.8593176384365774,31.40982167513654,105.5503501572965,57.82325363088872,0.2475172081126487,0.2166176855329367,17.589818246058105,7.999327266683469,0.016642895456564503,0.14084911346435725
Ceratosoma trilobatum,Ceratosoma_trilobatum_img04,44.22802925797559,48.68889745314844,0.0317578226068957,1.0246606582171982,32.080543518066406,0.88469874509526,28.22377629751523,97.5958824192468,28.24826432467518,0.030005830420808,0.0106184993209205,3.20811778736838,17.070443350604496,0.0006389763912859996,25.30070161819458
Ceratosoma trilobatum,Ceratosoma_trilobatum_img05,39.08981297748608,58.8176141635232,0.0223996400514358,1.535581208114127,22.64683532714844,0.7922658459233127,98.64676466966682,25.82090165355657,59.45737131595401,0.3202155142064951,0.2028414138702603,15.87969201739632,11.306311114183188,0.002717472993961599,12.33537864685059
Ceratosoma trilobatum,Ceratosoma_trilobatum_img06,49.48288428076218,76.4313003766821,0.0190415552778524,1.7750143084402654,16.0616397857666,1.6518200791480746,102.90005885469496,6.672062271009395,44.91951463676174,0.4622276936235727,0.5915259563089192,11.05581085195,10.894032856591934,0.0018120539165442998,2.015668869018553
Ceratosoma trilobatum,Ceratosoma_trilobatum_img07,45.726701065069854,54.3414957414594,0.01265897443061,1.0936276519842398,16.873497009277344,1.499475955206152,81.1165811150353,16.258157400278506,35.84011425451424,0.1869441990167124,0.0058393593801817,4.80231123410158,9.701225310443824,0.0020573893953774007,10.074034690856934
Ceratosoma trilobatum,Ceratosoma_trilobatum_img08,52.16341927254717,55.83053166541382,0.0325735207275304,2.096994678819722,44.0994873046875,0.7978602154109333,130.56327037775563,32.13984410154663,59.5203700105362,0.657431256878652,0.0604871396500852,2.568339476627216,9.607435558143727,0.00026081287002360093,31.434706687927246
