species,image_slot,image_id,analysis_stage,source,observation_id,observation_url,license,photographer_or_observer,date_accessed,source_metadata_status,original_image_path,original_width,original_height,image_downloaded,usable,exclusion_reason,animal_clear,background_clear,segmentation_status,segmentation_qc,metrics_status,notes,source_photo_id
Phyllidia ocellata,8,Phyllidia_ocellata_img08,candidate,iNaturalist,369616934,https://www.inaturalist.org/observations/369616934,CC BY-NC,r_lai / R Lai,2026/6/18,matched,raw_data/formal_images/Phyllidia_ocellata/Phyllidia_ocellata_img08.jpg,1170,658,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal visible but relatively small in the image; yellow/orange body, white tubercles and dark ocellated spots visible; background visible; usable as backup image",675174718
Phyllidia ocellata,9,Phyllidia_ocellata_img09,candidate,iNaturalist,361153380,https://www.inaturalist.org/observations/361153380,CC BY-NC,poseidon_photography / Andy,2026/6/18,matched,raw_data/formal_images/Phyllidia_ocellata/Phyllidia_ocellata_img09.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; two individuals visible; both animals clear; yellow/orange body, white tubercles and dark ocellated spots clearly visible; background visible",659082347
Phyllidia ocellata,10,Phyllidia_ocellata_img10,candidate,iNaturalist,360125653,https://www.inaturalist.org/observations/360125653,CC BY-NC,thormainz,2026/6/18,matched,raw_data/formal_images/Phyllidia_ocellata/Phyllidia_ocellata_img10.jpg,1638,2048,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal visible; orange/yellow body, white tubercles and dark ocellated spots clearly visible; background visible; good quality image",657120665
Phyllidiella pustulosa,1,Phyllidiella_pustulosa_img01,candidate,iNaturalist,368293079,https://www.inaturalist.org/observations/368293079,CC BY-NC,suzie_molloy,2026/6/18,matched,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img01.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; species-level ID supported 2/2; whole animal visible; dorsal pattern and tubercles clear; image slightly dark/blue-toned but suitable for pilot,672661400
Phyllidiella pustulosa,2,Phyllidiella_pustulosa_img02,candidate,iNaturalist,364933098,https://www.inaturalist.org/observations/364933098,CC BY-NC,mayamegret,2026/6/18,matched,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img02.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; species-level ID supported 2/2; whole animal visible; dorsal tubercles and dark pattern visible; image is blue-toned and slightly dark but suitable for pilot,666241112
Phyllidiella pustulosa,3,Phyllidiella_pustulosa_img03,candidate,iNaturalist,364727952,https://www.inaturalist.org/observations/364727952,CC BY-NC,blurryfishclub / Jade,2026/6/18,matched,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img03.jpg,2048,1533,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; species-level ID supported 2/2; animal large and clearly visible; pink/purple tubercles and dark body pattern clearly visible; good quality image suitable for pilot,665844091
Phyllidiella pustulosa,4,Phyllidiella_pustulosa_img04,candidate,iNaturalist,361851921,https://www.inaturalist.org/observations/361851921,CC BY-NC,dianna912,2026/6/18,matched,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img04.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; species-level ID supported; selected the second photo from this observation because it is brighter and shows the pink tubercles and dark body pattern more clearly; first photo from the same observation was not used to avoid duplicate sampling from the same individual,660407621
Phyllidiella pustulosa,5,Phyllidiella_pustulosa_img05,candidate,iNaturalist,360961496,https://www.inaturalist.org/observations/360961496,CC BY-NC,sophieg / Sophie Paradis,2026/6/18,matched,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img05.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; species-level ID supported 3/3; animal visible and dorsal tubercles/pattern can be seen; image is slightly small and blue-toned but suitable for pilot,658710376
Phyllidiella pustulosa,6,Phyllidiella_pustulosa_img06,candidate,iNaturalist,359106678,https://www.inaturalist.org/observations/359106678,CC BY-NC,sophieg / Sophie Paradis,2026/6/18,matched,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img06.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; species-level ID supported 3/3; animal visible and dorsal tubercles/pattern can be seen; image is blue-toned and slightly dark but suitable for pilot; same observer as another usable image but from a different observation,655168117
Phyllidiella pustulosa,7,Phyllidiella_pustulosa_img07,candidate,iNaturalist,356762791,https://www.inaturalist.org/observations/356762791,CC BY-NC,ellapennington,2026/6/18,matched,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img07.jpg,683,729,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; species-level ID supported 2/2; animal visible and dorsal tubercles/pattern can be seen; image has high contrast and slight blue/green colour cast but is suitable for pilot,650631164
