species,image_id,status,attempts,point1_x,point1_y,point2_x,point2_y,animal_perimeter_original_px,mask_path,qc_path
Goniobranchus tinctorius,Goniobranchus_tinctorius_img03,accepted,1,257.2245872559172,693.4295213813948,309.94876041970554,145.85132295176504,2381.998244047165,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_tinctorius/Goniobranchus_tinctorius_img03_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_tinctorius/Goniobranchus_tinctorius_img03_manual_rescue_qc.png
Goniobranchus tinctorius,Goniobranchus_tinctorius_img05,accepted,1,600.2230760066599,920.8994807059454,1765.7506518164016,866.322226895916,3658.882583141327,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_tinctorius/Goniobranchus_tinctorius_img05_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_tinctorius/Goniobranchus_tinctorius_img05_manual_rescue_qc.png
Halgerda aurantiomaculata,Halgerda_aurantiomaculata_img09,accepted,1,1284.09970544919,713.1166053019144,422.6729013254786,779.4730117820322,3150.230782866478,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Halgerda_aurantiomaculata/Halgerda_aurantiomaculata_img09_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Halgerda_aurantiomaculata/Halgerda_aurantiomaculata_img09_manual_rescue_qc.png
Halgerda aurantiomaculata,Halgerda_aurantiomaculata_img10,accepted,1,667.8996835399914,444.05086005345197,1262.720909311948,1714.8806098225064,6667.1936593055725,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Halgerda_aurantiomaculata/Halgerda_aurantiomaculata_img10_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Halgerda_aurantiomaculata/Halgerda_aurantiomaculata_img10_manual_rescue_qc.png
Hypselodoris obscura,Hypselodoris_obscura_img03,accepted,1,525.5949889618227,1418.298438755152,774.1275345489909,137.52738716261115,5236.135660290718,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Hypselodoris_obscura/Hypselodoris_obscura_img03_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Hypselodoris_obscura/Hypselodoris_obscura_img03_manual_rescue_qc.png
Hypselodoris obscura,Hypselodoris_obscura_img06,accepted,1,529.6952804360678,869.6361263928087,1333.0492271893306,338.9803083539564,4849.847213983536,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Hypselodoris_obscura/Hypselodoris_obscura_img06_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Hypselodoris_obscura/Hypselodoris_obscura_img06_manual_rescue_qc.png
Hypselodoris obscura,Hypselodoris_obscura_img07,accepted,1,965.2842626026352,612.8412036448899,1279.4066789759163,1030.0539883260044,2687.946513772011,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Hypselodoris_obscura/Hypselodoris_obscura_img07_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Hypselodoris_obscura/Hypselodoris_obscura_img07_manual_rescue_qc.png
Hypselodoris obscura,Hypselodoris_obscura_img08,accepted,1,762.5293490882565,1076.9804094821075,779.0981854607343,1274.1495623145943,871.1513642072678,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Hypselodoris_obscura/Hypselodoris_obscura_img08_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Hypselodoris_obscura/Hypselodoris_obscura_img08_manual_rescue_qc.png
Hypselodoris tryoni,Hypselodoris_tryoni_img09,accepted,1,375.620176730486,1008.7042341678939,1584.5132547864505,980.9551914580264,5056.758904933929,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Hypselodoris_tryoni/Hypselodoris_tryoni_img09_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Hypselodoris_tryoni/Hypselodoris_tryoni_img09_manual_rescue_qc.png
Hypselodoris tryoni,Hypselodoris_tryoni_img10,accepted,2,677.6705458216569,328.32203450766633,490.77187717533184,468.3183756609972,3008.0713995695114,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Hypselodoris_tryoni/Hypselodoris_tryoni_img10_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Hypselodoris_tryoni/Hypselodoris_tryoni_img10_manual_rescue_qc.png
